Russia,2020,1.49,10108,-2.65,0.15,71.3,3.38,5.62,381.1,305.3,46,9.48,23,85,8.04
Russia,2021,1.83,12425,5.87,0.14,69.9,6.69,4.75,548.8,376.5,50.6,40.45,21,88.2,7.03
Russia,2022,2.29,15620,-1.44,0.14,72.5,13.74,3.87,635.2,345.2,42.8,-39.8,19.3,90.4,6.88
Russia,2023,2.07,14159,4.08,0.14,73.3,5.87,3.08,465.9,379.9,40.8,-10.05,18.5,92.2,7.04
Russia,2024,2.17,14889,4.34,0.14,73.4,8.43,2.43,476.4,382.4,39.5,-9.35,18,94.4,0
South Africa,2000,0.15,3218,4.2,0.05,58.4,5.34,22.79,37,33.1,46.2,0.97,39.6,5.3,7.34
South Africa,2001,0.14,2847,2.7,0.05,57.2,5.7,22.65,35.7,30.9,49.2,7.27,0,6.3,7.12
South Africa,2002,0.13,2688,3.7,0.05,55.6,9.49,22.58,36.7,32.3,53.5,1.48,0,6.7,6.68
South Africa,2003,0.2,4062,2.95,0.05,54.2,5.68,22.68,47.1,43,45.7,0.78,0,7,7.04
South Africa,2004,0.26,5221,4.55,0.05,54,-0.69,22.57,58.2,58.5,45.6,0.7,0,8.4,6.94
South Africa,2005,0.29,5837,5.28,0.05,53.9,2.06,22.47,68.2,68.8,47.4,6.52,0,7.5,6.86
South Africa,2006,0.3,6077,5.6,0.05,54.2,3.24,22.3,79.3,84.1,53.8,0.62,0,7.6,6.88
South Africa,2007,0.33,6592,5.36,0.05,54.9,6.18,22.26,93.1,97.1,57.1,6.59,0,8.1,6.91
South Africa,2008,0.32,6185,3.19,0.05,56,9.91,22.41,102,106.6,66,9.89,0,8.4,7.15
South Africa,2009,0.33,6375,-1.54,0.05,57.4,7.24,23.52,82.4,81.1,49.6,7.62,0,10,7.65
South Africa,2010,0.42,7973,3.04,0.05,58.9,4.07,24.68,107.6,102.8,50.4,3.69,0,24,7.79
South Africa,2011,0.46,8646,3.17,0.05,60.6,5,24.64,126.9,123.4,54.6,4.14,0,34,7.94
South Africa,2012,0.43,8077,2.4,0.05,61.7,5.74,24.73,117.9,123.6,55.6,4.63,0,41,8
South Africa,2013,0.4,7332,2.49,0.05,62.4,5.78,24.56,113.8,122.3,58.9,8.23,0,46.5,8.1
South Africa,2014,0.38,6857,1.41,0.06,63.2,6.13,24.89,110.6,116.3,59.5,5.79,0,49,7.87
South Africa,2015,0.35,6112,1.32,0.06,64.1,4.52,25.15,96.1,100.6,56.7,1.52,52.7,51.9,8.05
South Africa,2016,0.32,5651,0.66,0.06,64.7,6.6,26.54,91.1,89.6,55.9,2.22,53.7,54,8.08
South Africa,2017,0.38,6618,1.16,0.06,65.4,5.19,27.04,104.3,99.9,53.5,2.06,56.3,56.2,7.98
South Africa,2018,0.41,6914,1.56,0.06,65.7,4.51,26.91,111.4,109.4,54.5,5.57,59.1,62.4,8.08
South Africa,2019,0.39,6534,0.26,0.06,66.1,4.1,28.47,105.9,103.9,53.9,5.12,64.6,69.7,8.25
South Africa,2020,0.34,5581,-6.17,0.06,65.2,3.23,29.22,93.2,78.4,50.8,3.15,75.7,72.1,9.02
South Africa,2021,0.42,6829,4.86,0.06,62,4.62,34.01,131,104.9,56.2,40.66,74.1,75,8.66
South Africa,2022,0.41,6534,2.06,0.06,65.5,7.04,33.27,136.7,128,64.9,9.24,76.2,78.3,8.75
South Africa,2023,0.38,6034,0.81,0.06,66.1,6.08,32.1,126.8,123.7,65.7,3.86,79.4,78.3,8.91
South Africa,2024,0.4,6267,0.53,0.06,66.3,4.36,32.28,127.5,119.8,61.6,2.33,0,78.4,0
